boot_id,n_spacing_modes,spacing_mode_center_1,jitter_boundary_1,jitter_boundary_2,occupancy_boundary_1,occupancy_boundary_2
0,1,2.3193359375,0.2923163461405639,0.29334401481188344,0.20830527497194162,0.2545454545454545
1,1,2.3193359375,0.2799644761030204,0.2881990561280494,0.20606060606060606,0.27025813692480355
2,1,2.3193359375,0.2923163461405639,0.2923163461405639,0.18518518518518517,0.20718294051627384
3,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.2303030303030303,0.2545454545454545
4,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.20606060606060606,0.2424242424242424
5,1,2.3193359375,0.29283018047622367,0.2938578491475432,0.2303030303030303,0.2545454545454545
6,1,2.3193359375,0.28459560045119464,0.2938578491475432,0.2303030303030303,0.2545454545454545
7,1,2.3193359375,0.27748355044734135,0.2881990561280494,0.20606060606060606,0.21818181818181817
8,1,2.3193359375,0.2840817661155349,0.2923163461405639,0.19012345679012346,0.2641975308641975
9,1,2.3193359375,0.28160084045985584,0.2923163461405639,0.1961840628507295,0.21818181818181817
10,1,2.3193359375,0.29283018047622367,0.2938578491475432,0.21818181818181817,0.2545454545454545
11,1,2.3193359375,0.2840817661155349,0.2923163461405639,0.20830527497194162,0.2823793490460157
12,1,2.3193359375,0.28160084045985584,0.29334401481188344,0.20606060606060606,0.21818181818181817
13,1,2.3193359375,0.28459560045119464,0.30118632883178226,0.20606060606060606,0.2424242424242424
14,1,2.3193359375,0.2840817661155349,0.2923163461405639,0.20830527497194162,0.2823793490460157
15,1,2.3193359375,0.2938578491475432,0.30118632883178226,0.2,0.23636363636363633
16,1,2.3193359375,0.27748355044734135,0.2881990561280494,0.21818181818181817,0.2424242424242424
17,1,2.3193359375,0.2840817661155349,0.2923163461405639,0.19012345679012346,0.21212121212121213
18,1,2.3193359375,0.27624308761950184,0.28798626197152943,0.21818181818181817,0.21818181818181817
19,1,2.3193359375,0.2923163461405639,0.3006724944961225,0.19012345679012346,0.2
20,1,2.3193359375,0.27748355044734135,0.2799644761030204,0.21818181818181817,0.27025813692480355
21,1,2.3193359375,0.2923163461405639,0.2923163461405639,0.18518518518518517,0.18518518518518517
22,1,2.3193359375,0.2938578491475432,0.2938578491475432,0.21818181818181817,0.2545454545454545
23,1,2.3193359375,0.2799644761030204,0.28922672479936895,0.2684624017957351,0.2962962962962963
24,1,2.3193359375,0.2923163461405639,0.29334401481188344,0.1961840628507295,0.2424242424242424
25,1,2.3193359375,0.2923163461405639,0.29334401481188344,0.20830527497194162,0.2545454545454545
26,1,2.3193359375,0.29283018047622367,0.2938578491475432,0.2545454545454545,0.2545454545454545
27,1,2.3193359375,0.29283018047622367,0.30118632883178226,0.2,0.23636363636363633
28,1,2.3193359375,0.2821146747955156,0.30118632883178226,0.20606060606060606,0.21818181818181817
29,1,2.3193359375,0.27748355044734135,0.2799644761030204,0.21818181818181817,0.27025813692480355
30,1,2.3193359375,0.2821146747955156,0.30118632883178226,0.20606060606060606,0.21818181818181817
31,1,2.3193359375,0.2923163461405639,0.29334401481188344,0.20830527497194162,0.2545454545454545
32,1,2.3193359375,0.29283018047622367,0.2938578491475432,0.2303030303030303,0.2545454545454545
33,1,2.3193359375,0.2799644761030204,0.296555204483608,0.20606060606060606,0.27025813692480355
34,1,2.3193359375,0.2840817661155349,0.2923163461405639,0.18518518518518517,0.25925925925925924
35,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.2303030303030303,0.2545454545454545
36,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.2303030303030303,0.2545454545454545
37,1,2.3193359375,0.29752208898966276,0.3048505686739018,0.2,0.23636363636363633
38,1,2.3193359375,0.2923163461405639,0.2923163461405639,0.18518518518518517,0.19506172839506172
39,1,2.3193359375,0.2799644761030204,0.296555204483608,0.20606060606060606,0.27025813692480355
40,1,2.3193359375,0.29283018047622367,0.2938578491475432,0.20606060606060606,0.2424242424242424
41,1,2.3193359375,0.2923163461405639,0.3006724944961225,0.19012345679012346,0.2
42,1,2.3193359375,0.2923163461405639,0.29334401481188344,0.18518518518518517,0.19506172839506172
43,1,2.3193359375,0.2799644761030204,0.28922672479936895,0.2303030303030303,0.2823793490460157
44,1,2.3193359375,0.2923163461405639,0.29334401481188344,0.19012345679012346,0.23636363636363633
45,1,2.3193359375,0.28459560045119464,0.2938578491475432,0.2303030303030303,0.2545454545454545
46,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.2303030303030303,0.2545454545454545
47,1,2.3193359375,0.2923163461405639,0.29334401481188344,0.18518518518518517,0.19506172839506172
48,1,2.3193359375,0.2840817661155349,0.2923163461405639,0.20830527497194162,0.2823793490460157
49,1,2.3193359375,0.2840817661155349,0.2923163461405639,0.20830527497194162,0.2823793490460157
50,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.21818181818181817,0.2823793490460157
51,1,2.3193359375,0.2799644761030204,0.2881990561280494,0.2684624017957351,0.2962962962962963
52,1,2.3193359375,0.27748355044734135,0.2881990561280494,0.20606060606060606,0.21818181818181817
53,1,2.3193359375,0.2938578491475432,0.2938578491475432,0.21818181818181817,0.2545454545454545
54,1,2.3193359375,0.2799644761030204,0.28922672479936895,0.2303030303030303,0.2823793490460157
55,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.2545454545454545,0.2823793490460157
56,1,2.3193359375,0.2938578491475432,0.2938578491475432,0.21818181818181817,0.2545454545454545
57,1,2.3193359375,0.28459560045119464,0.2938578491475432,0.2545454545454545,0.2545454545454545
58,1,2.3193359375,0.2821146747955156,0.30118632883178226,0.20606060606060606,0.21818181818181817
59,1,2.3193359375,0.28459560045119464,0.2938578491475432,0.2303030303030303,0.2545454545454545
60,1,2.3193359375,0.27748355044734135,0.28922672479936895,0.21818181818181817,0.2424242424242424
61,1,2.3193359375,0.28459560045119464,0.30118632883178226,0.21818181818181817,0.2823793490460157
62,1,2.3193359375,0.2923163461405639,0.3006724944961225,0.19012345679012346,0.2
63,1,2.3193359375,0.2923163461405639,0.2923163461405639,0.18518518518518517,0.18518518518518517
